datetime_et,open,high,low,close,volume,vwap,transactions,ret_log,rv_5m
2024-03-11 10:34:00-04:00,509.79,509.85,509.69,509.81,166507,509.7807,1928,5.82586947102115e-05,0.0003830906431764952
2024-03-11 10:35:00-04:00,509.81,509.92,509.78,509.85,145690,509.8531,1571,7.84575250971642e-05,0.00019632991378465363
2024-03-11 10:36:00-04:00,509.86,509.9,509.65,509.735,176396,509.7594,1593,-0.00022558197793731694,0.0002549904084306323
2024-03-11 10:37:00-04:00,509.745,509.745,509.38,509.44,111345,509.5935,1480,-0.0005788996163333948,0.0002726042480815532
2024-03-11 10:38:00-04:00,509.44,509.5,509.16,509.28,114549,509.3282,1725,-0.00031411968218097996,0.00027450554418625647
2024-03-11 10:39:00-04:00,509.29,509.3,508.97,509.0,101551,509.1145,1530,-0.0005499469832601633,0.0002681430253029029
2024-03-11 10:40:00-04:00,509.02,509.37,508.98,509.35,159781,509.1156,1987,0.0006873864855529987,0.0005165000844139066
2024-03-11 10:41:00-04:00,509.35,509.61,509.19,509.61,192609,509.3514,2069,0.0005103242632538141,0.0006035599812399718
2024-03-11 10:42:00-04:00,509.61,509.65,509.47,509.49,92267,509.5762,1411,-0.00023550191454102531,0.000544880415322723
2024-03-11 10:43:00-04:00,509.49,509.61,509.41,509.45,79095,509.5161,1168,-7.851296449423728e-05,0.0005183436341077338
2024-03-11 10:44:00-04:00,509.46,509.56,509.37,509.45,74024,509.4592,1225,0.0,0.0003994911743337871
2024-03-11 10:45:00-04:00,509.43,509.51,509.17,509.42,106714,509.3357,1458,-5.888876894655226e-05,0.0002836138629454681
2024-03-11 10:46:00-04:00,509.42,509.5,509.34,509.435,88244,509.4232,1159,2.9444817958967917e-05,0.00010291686957771561
2024-03-11 10:47:00-04:00,509.43,509.6,509.43,509.59,153028,509.501,1652,0.00030421236219968506,0.0001543867637203535
2024-03-11 10:48:00-04:00,509.59,509.64,509.42,509.62,110971,509.5513,1210,5.8869124142546525e-05,0.0001397165152242167
2024-03-11 10:49:00-04:00,509.645,509.75,509.49,509.7478,101455,509.6012,1328,0.00025074364850397046,0.00015404360028948186
2024-03-11 10:50:00-04:00,509.75,509.94,509.68,509.83,150299,509.8454,1518,0.00016124321298072175,0.00011863936594773356
2024-03-11 10:51:00-04:00,509.8401,510.1,509.81,510.075,121030,509.9512,1675,0.00048043691267896094,0.0001584640505940964
2024-03-11 10:52:00-04:00,510.07,510.17,509.97,509.99,138028,510.0735,1792,-0.00016665604681431745,0.00023864209186310158
